question, answer
Which clusters does cloud computing use to deliver multi-tenancy solutions to customers in regions all over the world?, Hypervisors
Which aspect of the AWS security tirad offers customers fine-grained access control across all AWS services?, IAM (Identity and Access Management)
Which is an easy-to-use cloud compute platform that offers everything necessary to build an application or website for the small-to-medium business?, Lightsail
Which AWS component provides the information requied to launch an instance in EC2?, AMI (Amazon Machine Image)
What is another term for serverless services in AWS?, Functions-as-a-service
What is the maximum amount of VPCs per AWS account?, 5
What is a VPC?, Virtual Private Cloud
What are the default maximum entries per VPC route table?, 50
What is the name of the free anti-DoS service available to any AWS customer with an account in good standing?, Shield Standard
What is the passing score for the AWS Certified Cloud Practitioner (CLF-C01) exam?, 70%
Which advantage does cloud computing have compared with on-premise deployment?, No upfront cost investment
"Which cloud service type allows DevOps teams to focus on the rapid and efficient deployment of apps, managed databases, containers, microservices, and more?", PaaS
What is PaaS?, Platform-as-a-Service
"Which AWS cloud deployment model is most often used to migrate, expand, or grow infrastructure into a cloud solution while linking internal systems to AWS Cloud resources?", Hybrid
"As of 2022, every AWS Region has at least how many Availability Zones?", 3
"When using the Launch Wizard to set up a new AWS account, which account option would an individual programmer most likely choose?", Personal
Which value proposition allows you to build or buy for DevOps?, Agility
Which AWS service can implement the elasticity value proposition?, Auto Scaling
Which value proposition is the dominant choice for most AWS customers?, cost
Which value proposition is the top priority for AWS?, Security
What is the main attribute of AWS Cloud Economics?, It's a pay-as-you-go service
In which Gartner quadrant is Amazon Web Services located?, Leaders
"According to the AWS Free Tier model, how many gigabytes of S3 Standard storage does a customer get for 12 months?", 5
What Reserved Instances pricing option will save you the most money?, All Upfront 
Which AWS tool allows you to configure a cost estimate that fits your unique business or personal needs with AWS products and services?, Pricing Calculator
"Which AWS tool helps you visualize, understand, and manage your AWS costs and usage daily or monthly by letting you dive deeper using granular filtering?", Cost Explorer
"Which term describes the software that produces and manages a virtual infrastructure, allowing multiple operating systems to run and share resources on a single physical machine?", Hypervisor 
Which actions can only be performed by the AWS root account user?, "Closing an account, Changing the billing options, Changing support plan, Changing the root user password"
How may default VPCs can you have per account?, 1
What is a VPC?, Virtual Private Cloud
Which virtual image configuration can be used to create an instances of a viritual machine in AWS?, AMI (Amazon Machine Image)
What is AMI?, Amazon Machine Image
Which component is used to determine the subnet type in AWS?, Route tables
A managed Site-to-Site VPN supports which dynamic routing protocol?, BGP (Border Gateway Protocol)
What is BGP?, Border Gateway Protocol 
What are the value propositions of the AWS Cloud?, "Cost Savings, Enhanced Productivity, Improved Operational Resilience, Greater buisness Agility, and Sustainability"
What is the advantage of high availability?, "Protect against data center, AZ, server, network, and storage subsystem failures"
What is the advantage of elasticity?, "Elasticity provides the ability to almost instantly provision and de-provision assorded cloud resources"
What is the advantage of agility?, "Agility leverages features for rapid deployment, testing, experimentation, and innovation"
What are the six pillars of design priciples?, "Operational Excellence, Security, Reliability, Performance Efficiency, Cost Optimization, and Sustainability"
What is Cloud Computing?, "The on-demand deliery of compute power, database, storage, applications, and other IT resources through a cloud services platform via the internet with pay-as-you-go pricing"
What is an Edge Location?, "A globally distributed point of presence that serves as a chache for data and content, enabling Amazon CloudFront to deliver content"
What is CloudFront?, "A global content delivery network (CDN) that speeds up the delivery of static and dynamic web content to users by distributing it to a worldwide network of edge locations"
What is CLI?, Command Line Interface
What is AWS Well-Architected Framework?, "AWS Well-Architected helps cloud architects build secure, high-performing, resilient, and efficient infrastructure for a variety of applications and workloads"
Define Operational Excellence Pillar, "The operational excellence pillar focuses on running and monitoring systems, and continually improving processes and procedures"
Define Security Pillar, "The security pillar focuses on protecting information and systems"
Define Reliability Pillar, "The reliability pillar focuses on workloads performing their intended functions and how to recover quickly from failure to meet demands"
Define Performance Efficiency Pillar, "The performance efficiency pillar focuses on structured and streamlined allocation of IT and computing resources"
Define Cost Optimization Pillar, "The cost optimization pillar focuses on avoiding unnecessary costs"
Define Sustainability Pillar, "The sustainability pillar focuses on minimizing the environmental impacts of running cloud workloads"
List Operational Excellence Design Principles, "Perform operations as code, Make frequent, small, reversible changes, Refine operations procedures frequently, Anticipate Failure, Learn from all operational failures"
List Security Design Principles, "Implement a strong identity foundation, Enable traceability, Apply security at all layers, Automate security best practices, Protect data in transit and at rest, Keep people away from data, Prepare for security events"
List Reliability Design Principles, "Automatically recover from failure, Test recovery procedures, Scale horizontally to increase aggregate workload availability, Stop guessing capacity, Manage change in automation"
List Performance Efficiency Design Principles, "Democratize advanced technologies, Go global in minutes, Use serverless architectures, Experiment more often, Consider mechanical sympathy"
List Cost Optimization Design Principles, "Implement cloud financial management, Adopt a consumption model, Measure overall efficiency, Stop spending money on undifferenciated heavy lifting, Analyze and attribute expenditure"
List Sustainability Design Principles, "Understand your impact, Establish sustainability goals, Maximize utilization, Anticipate and adopt new, more efficient hardware and software offerings, Use managed services, Reduce the downstream impact of your cloud workloads"
Which AWS Value proposition allows customers to decrease the time to make resources available to administrators and developers from weeks to merely minutes?, Increase speed an agility
Which cloud computing concept referes to the ability to lower costs and raise efficiency when operating at larger scale in comparison to operating at smaller scale?, Economy of scale
Which aspect of the AWS global infrastructure supports content distribution networks?, Edge locations
"Which cloud characteristic describes the ability to almost instantly provision and deprovision assorted cloud resources such as virtual instances, containers, appliances, dtabase tables, and more?", Elasticity
"Which well-architected pillar addresses the ability to support development and run workloads effectively, gain operational insight, and continuously improve supporting processes to deliver business value?", Operational Excellence 
What is AWS CAF?, AWS Cloud Adoption Framework
What are the 6 strategies for migrating applications to the cloud?, "Rehosting, Replatforming, Repurchasing, Refactoring, Retiring, and Retaining"
What is Rehosting, "Lift and shift, scales migration quickly, Can be automated with AWS tools, makes optimization rearchitecting easier later"
What is Replatforming, "Lift-tinker-and-shift, Might make a few chainges or optimizations during migration, Few other changes"
What is Repurchasing, "Moving to a different product"
What is Refactoring (Rearchitecting), "Reimagining how the application is architected and developed, Used with the business must add features, scalability, or performance. More expensive option for monolithic architecture"
What is Retiring, "An application has reached the disposition phase due to supply chain challenges, end of life, deprecated tech, regulations, or lacks utility"
What is Retaining, "Revisit or ride it out.  Not a present inclination to migrate some applications"
What is AWS Professional Services?, A global team of experts that can help customers realize their desired business outcomes
What is an AWS Solutions Architect?, Certified cloud architects
What is AWS Activate for Startups?, "Free Templates, tools, resources, content, and expert support to accelerate the startup"
What is the AWS Knowledge Center?, helps answer the questions most frequently asked by AWS Support customers
What are the 3 strategic capabilities and perspectives of the AWS Cloud Adoption Framework?, "Business, People, and Governance"
What are the 3 tactical capabilities and perspectives of the AWS Cloud Adoption Framework?, "Platform, Security, Operations"
What is Database Replication?, "The process of copying data from a primary database to one or more replica databases to improve data availability and system fault-tolerance and reliability"
What is AWS Snowball?, "A service that offers secure, rugged devices that allow customers to transfer data into and out of AWS and bring AWS computing and storage capabilities to edge enironments"
What is TCO?, Total Cost of Ownership
What is the average cost savings for customers moving to the cloud with AWS?, 31 percent
How long does it take for the cost of AWS to payback?, 10 months
How much more efficient does IT infrastrure staff get with AWS?, 47 percent
How much lower is the 5-year cost of operations after moving to the cloud?, 50 percent
What are some examples of Fixed costs?, "Data centers and server farms, Physical blade servers and racks, storage area networks (SAN), and Buildings (HVAC, Environmental controls)"
What are some examples of Variable Costs?, "Virtual instances of Windows and Linux, Serverless solutions like Functions as a service (FaaS), Relational database services, Elastic file services"
What does BYOL stand for?, Bring Your Own License
What is Rightsizing?, "The practice of mapping instance types and sizes to workload performance and capacity requirements at the lowest feasible cost.  It is also the process of observing deployed instances and recognizing openings to eradicate or downsize without compromizing capacity to lower costs"
What is the default pricing model at AWS?, Pay as you go
Outline the benefits of automation in the AWS Cloud, 
Describe Amazon Relational Database Service (RDS), "An AWS managed service that allows for relational databases in the cloud"
What platforms or engines does AWS RDS support?, "Aurora (MySQL), Aurora(PostgresSQL), MySQL, MariaDB, PostgresSQL, Oracle, Microsoft SQL Server"
Describe Amazon Elastic Container Service (ECS), "A fully managed container orchestration service that streamlines the customer's deployment, management, and scaling of containerized applications"
What is a container?, "A standard unit of software that packages code and all its dependencies"
What are the benefits of containerization?, "The application runs rapidly and reliably from one computing environment or platform to another"
What are the features of a container?, "A container image is a lightweight, standalone, executable bundle of software that comprises everything necessary to run an application"
When does a container image become a container?, At runtime and often when they run on an engine
What is the standard way to organize compute resources and manage the content of your application deployments?, containers
What are some features of ECS?, "ECS will launch, watch, and scale the application along with elastic compute options.  ECS also provides automatic integration with other supporting AWS services"
"In what system can customers conduct system operations, generate custom scaling and capacity rules, and monitor and query data from applciation logs and telemetry?", Amazon ECS
Describe Amazon Elastic Kubernetes Service (EKS), "An AWS managed service for using Kubernetes orchestration and containers or nodes"
What two services in AWS can a customer choose from for containerization?, "Amazon ECS and Amazon EKS"
Describe Amazon DynamoDB, "A serverless fast and flexible NoSQL database service for any scale.  It's a fully managed, key-value document database.  It delivers single-gigit-millisecond performance at any scale"
Describe AWS Lambda, "It lets you run code without thinking about servers. It can be used for an API call, a CloudWatch alarm, manually, or triggered by a security event" 
Describe Amazon Simple Storage Service (S3), "When you store data in S3, it is stored in a container or bucket.  It stores unstructured data like pictures, files, pdfs, or videos.  Also called Blob storage"
What are the three benefits of automating compliance in the cloud?, "Immediate cost savings, Shifting workloads to the cloud logically encourages greater automation, When a problem is identified, remediation is easier to deploy"
What is CSF?, Critical Success Factor
What does AWS Automation emphasize?, "Setup, Configuration, Deployment, and Support of infrastructure and the applications that run on it"
How can customers setup environments more quickly in a stndardized and repeatable manner?, By leveraging automation tools
What is a CSF for DevOps?, Removal of manual processes
What is the main service for automation and IAC?, AWS CloudFormation
What are eight reasonse to use AWS CloudFormation?, "Free and managed service, Human errors can be avoided, Architecture as code is kept in your repo, You can create environments with re-usable templates, Costs are reduced, Easy to learn with YAML or JSON, The templates are self explainitory, Integrated with all AWS services"
Which type of database technology is used by DynamoDB?, Key-Value datastore
"Which is a lightweight, standalone, executable bundle of software that combrises everytyhing necessary to run an application?", Container
"Which is a serverless, event-driven computer service that lets you run code for virtually any type of application or backend service without provisioning or managing servers?", Amazon Lambda
Which type of data is primarily stored in the Amazon Simple Storage Service?, Unstructured
"Which service can you use in your hybrid cloud for a dependable, fully supported container orchestration solution with integrated tooling and fundamental deployment to hybrid sites, virtual machines, or bare mental servers?", Elastic Kubernetes Service
"In the AWS Shared Responsibility Model, what is the customer's responsibility", Security IN the cloud. Management of the guest operating system and other supplementary application software along with configuration of cloud firewall
"In the AWS Shared Responsibility Model, what is AWS's responsiblity?", "Security OF the cloud. From the host OS and virutalization layer, all the way down to the physical security of the data center"
Describe Governance, An initiative by which entities are directed and controlled
What is the focus of Governance, "Structure and processes for decision-making, accountability, control, and activityes at the top of the entity"
What is Governance in AWS?, "The capacity to introduce executive board policies and decisions that your cloud environment must observe"
What are the benefits of AWS Compliance?, "Third-party validation, Inherit the latest security controls, Streamline and automate compliance, Automate Compliance Reporting"
What services is used to automate compliance reporting?, AWS Artifact
"What is the no cost, self service portal for on-demand access to compliance reports and for entering into select online agreements?", AWS Artifact
How are agreements in AWS Artifact divided?, Account agreements and organization agreements
A good governance strategy requires a systematic approach to what role?, Risk Management
Where can a customer find imformation on the CSA Consensus Assessment Initiative Questionaire?, Compliance Resources
What provides on-demand access to security and compliance reports from AWS and ISVs who sell their products on AWS Marketplace?, AWS Artifact
What standard is concerned with privacy in the European Union and their partners?, GDPR
"Regarding security, with AWS, what do customers manage?", "Where their data is stored, who can access their data, what resources the organization is using at any point in time"
Where would you find AWS guides for logging and events?, AWS Security Incident Repsonse Guide 
What API Action shows management operations that are performed on resources in your AWS account?, CloudTrail Management Events
What API Action shows the resource operations performed on or within a resource in your AWS account?, CloudTrail Data Events
Where are CloudTrail log buckets stored?, In an S3 bucket
"What can customers use to montitor, store, and access log files originating from operating systems, applications, and other sources running in Amazon EC2 instances?", Cloudwatch Logs
"What is a managed vulnerability assessment service that continuously scans AWS workloads for software vulnerabilities, gaps, and unitnentional network exposures?", Amazon Inspector
"What service automatically finds and scans running EC2 instances, cointainer images in ECR, and AWS Lambda functions for known vulnerabilitiesand unintended exposure?", Amazon Inspector
What is created when Amazon Inspector discovers a software vulnerability or network configuration issue?, A Finding
"What describes a vulnerability, identifies the affected resource, rates the severity of the vulnerability, and provides remediation guidance?", A Finding
What format is used to assess vulnerability risk scores accurately?, Common Vulnerability Scoring System (CVSS)
What provides a consolidated view of your security status in AWS?, AWS Security Hub
What provides continuous attack detection and automatic mitigations for denial of service attacks (DDoS), Amazon Shield
What is a manged threat detection service that constantly monitors for melevolent and unauthorized behavior?, AWS GuardDuty
What watches out for unusual application programming interface (API) calls or potentially unauthorized deployments that indicate a possible account compromize (zero day), AWS GuardDuty
What detects potentially compromized instances or reconnaissance by advanced persistent threat actors?, AWS GuardDuty
What specifically does AWS GuardDuty NOT do?, Denial-of-Service protection (DDoS)
